Data as of,Start Date,End Date,State,County Name,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,Footnote
11/09/2022,01/01/2020,11/05/2022,IL,DuPage County,2,17,43,17043,Distribution of COVID-19 deaths (%),22241,1881,0.718,0.081,,0.071,,0.127,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,DuPage County,2,17,43,17043,Distribution of population (%),22241,1881,0.655,0.05,0.001,0.129,0,0.147,0.018,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IL,Effingham County,5,17,49,17049,Distribution of all-cause deaths (%),1122,149,0.988,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Effingham County,5,17,49,17049,Distribution of COVID-19 deaths (%),1122,149,0.973,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Effingham County,5,17,49,17049,Distribution of population (%),1122,149,0.956,0.006,0.001,0.008,0,0.021,0.008,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IL,Fulton County,5,17,57,17057,Distribution of all-cause deaths (%),1309,104,0.989,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Fulton County,5,17,57,17057,Distribution of COVID-19 deaths (%),1309,104,0.971,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Fulton County,5,17,57,17057,Distribution of population (%),1309,104,0.913,0.04,0.002,0.003,0,0.032,0.009,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IL,Grundy County,2,17,63,17063,Distribution of all-cause deaths (%),1273,168,0.945,0.015,,,,0.036,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Grundy County,2,17,63,17063,Distribution of COVID-19 deaths (%),1273,168,0.935,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Grundy County,2,17,63,17063,Distribution of population (%),1273,168,0.853,0.018,0.001,0.009,0.001,0.107,0.011,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IL,Henry County,3,17,73,17073,Distribution of all-cause deaths (%),1282,104,0.975,0.012,,,,0.009,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Henry County,3,17,73,17073,Distribution of COVID-19 deaths (%),1282,104,0.971,,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Henry County,3,17,73,17073,Distribution of population (%),1282,104,0.899,0.019,0.001,0.005,0,0.061,0.014,Medium metro,
11/09/2022,01/01/2020,11/05/2022,IL,Jackson County,4,17,77,17077,Distribution of all-cause deaths (%),1953,270,0.877,0.105,,0.006,,0.01,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Jackson County,4,17,77,17077,Distribution of COVID-19 deaths (%),1953,270,0.878,0.111,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Jackson County,4,17,77,17077,Distribution of population (%),1953,270,0.738,0.152,0.003,0.034,0.001,0.046,0.026,Small metro,
11/09/2022,01/01/2020,11/05/2022,IL,Jefferson County,5,17,81,17081,Distribution of all-cause deaths (%),1784,274,0.939,0.053,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Jefferson County,5,17,81,17081,Distribution of COVID-19 deaths (%),1784,274,0.934,0.051,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Jefferson County,5,17,81,17081,Distribution of population (%),1784,274,0.852,0.084,0.003,0.011,0,0.03,0.02,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IL,Kane County,2,17,89,17089,Distribution of all-cause deaths (%),11230,1255,0.775,0.063,,0.026,,0.13,0.005,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Kane County,2,17,89,17089,Distribution of COVID-19 deaths (%),11230,1255,0.633,0.064,,0.033,,0.263,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Kane County,2,17,89,17089,Distribution of population (%),11230,1255,0.564,0.053,0.001,0.042,0,0.325,0.014,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IL,Kankakee County,4,17,91,17091,Distribution of all-cause deaths (%),3838,389,0.817,0.14,,0.005,,0.037,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Kankakee County,4,17,91,17091,Distribution of COVID-19 deaths (%),3838,389,0.761,0.152,,,,0.077,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Kankakee County,4,17,91,17091,Distribution of population (%),3838,389,0.711,0.148,0.002,0.01,0,0.112,0.018,Small metro,
11/09/2022,01/01/2020,11/05/2022,IL,Knox County,5,17,95,17095,Distribution of all-cause deaths (%),2006,263,0.926,0.048,,,,0.021,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Knox County,5,17,95,17095,Distribution of COVID-19 deaths (%),2006,263,0.92,0.046,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Knox County,5,17,95,17095,Distribution of population (%),2006,263,0.82,0.082,0.002,0.009,0,0.062,0.025,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IL,Lake County,2,17,97,17097,Distribution of all-cause deaths (%),16449,1388,0.806,0.08,,0.03,,0.08,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Lake County,2,17,97,17097,Distribution of COVID-19 deaths (%),16449,1388,0.689,0.089,,0.032,,0.187,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Lake County,2,17,97,17097,Distribution of population (%),16449,1388,0.599,0.069,0.002,0.086,0,0.227,0.018,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IL,La Salle County,5,17,99,17099,Distribution of all-cause deaths (%),3190,315,0.965,0.009,,,,0.024,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,La Salle County,5,17,99,17099,Distribution of COVID-19 deaths (%),3190,315,0.959,,,,,0.035,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,La Salle County,5,17,99,17099,Distribution of population (%),3190,315,0.847,0.026,0.002,0.01,0,0.103,0.012,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IL,Lee County,5,17,103,17103,Distribution of all-cause deaths (%),964,117,0.943,0.031,,,,0.022,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Lee County,5,17,103,17103,Distribution of COVID-19 deaths (%),964,117,0.923,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Lee County,5,17,103,17103,Distribution of population (%),964,117,0.854,0.055,0.002,0.007,0,0.068,0.013,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IL,Livingston County,5,17,105,17105,Distribution of all-cause deaths (%),1205,113,0.968,0.017,,,,0.013,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Livingston County,5,17,105,17105,Distribution of COVID-19 deaths (%),1205,113,0.938,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Livingston County,5,17,105,17105,Distribution of population (%),1205,113,0.886,0.041,0.002,0.007,0,0.05,0.014,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IL,McHenry County,2,17,111,17111,Distribution of all-cause deaths (%),5388,390,0.934,0.009,,0.016,,0.038,0.002,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,McHenry County,2,17,111,17111,Distribution of COVID-19 deaths (%),5388,390,0.879,,,,,0.092,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,McHenry County,2,17,111,17111,Distribution of population (%),5388,390,0.797,0.016,0.002,0.029,0,0.142,0.014,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IL,McLean County,4,17,113,17113,Distribution of all-cause deaths (%),4216,468,0.913,0.069,,0.005,,0.011,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,McLean County,4,17,113,17113,Distribution of COVID-19 deaths (%),4216,468,0.882,0.096,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,McLean County,4,17,113,17113,Distribution of population (%),4216,468,0.791,0.083,0.002,0.049,0,0.052,0.023,Small metro,
11/09/2022,01/01/2020,11/05/2022,IL,Macon County,4,17,115,17115,Distribution of all-cause deaths (%),3986,450,0.856,0.136,,,,0.005,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Macon County,4,17,115,17115,Distribution of COVID-19 deaths (%),3986,450,0.851,0.142,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Macon County,4,17,115,17115,Distribution of population (%),3986,450,0.751,0.179,0.002,0.011,0,0.025,0.031,Small metro,
11/09/2022,01/01/2020,11/05/2022,IL,Macoupin County,2,17,117,17117,Distribution of all-cause deaths (%),1371,107,0.985,0.009,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Macoupin County,2,17,117,17117,Distribution of COVID-19 deaths (%),1371,107,0.981,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Macoupin County,2,17,117,17117,Distribution of population (%),1371,107,0.958,0.011,0.003,0.004,0,0.013,0.012,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IL,Madison County,2,17,119,17119,Distribution of all-cause deaths (%),8306,848,0.904,0.083,,0.003,,0.008,0.001,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Madison County,2,17,119,17119,Distribution of COVID-19 deaths (%),8306,848,0.904,0.081,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Madison County,2,17,119,17119,Distribution of population (%),8306,848,0.843,0.088,0.002,0.01,0.001,0.035,0.02,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IL,Marion County,5,17,121,17121,Distribution of all-cause deaths (%),1474,165,0.961,0.031,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Marion County,5,17,121,17121,Distribution of COVID-19 deaths (%),1474,165,0.988,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Marion County,5,17,121,17121,Distribution of population (%),1474,165,0.909,0.042,0.003,0.006,0,0.022,0.018,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IL,Morgan County,5,17,137,17137,Distribution of all-cause deaths (%),1270,165,0.958,0.031,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Morgan County,5,17,137,17137,Distribution of COVID-19 deaths (%),1270,165,0.939,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Morgan County,5,17,137,17137,Distribution of population (%),1270,165,0.876,0.067,0.003,0.008,0,0.028,0.017,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IL,Peoria County,3,17,143,17143,Distribution of all-cause deaths (%),9627,1282,0.86,0.116,,0.005,,0.016,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Peoria County,3,17,143,17143,Distribution of COVID-19 deaths (%),9627,1282,0.853,0.112,,,,0.028,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Peoria County,3,17,143,17143,Distribution of population (%),9627,1282,0.689,0.186,0.003,0.042,0.001,0.052,0.028,Medium metro,
11/09/2022,01/01/2020,11/05/2022,IL,Randolph County,6,17,157,17157,Distribution of all-cause deaths (%),995,115,0.948,0.039,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Randolph County,6,17,157,17157,Distribution of COVID-19 deaths (%),995,115,0.965,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Randolph County,6,17,157,17157,Distribution of population (%),995,115,0.842,0.106,0.002,0.005,0,0.035,0.011,Noncore,
11/09/2022,01/01/2020,11/05/2022,IL,Rock Island County,3,17,161,17161,Distribution of all-cause deaths (%),4801,543,0.868,0.082,,0.005,,0.044,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Rock Island County,3,17,161,17161,Distribution of COVID-19 deaths (%),4801,543,0.81,0.092,,,,0.088,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Rock Island County,3,17,161,17161,Distribution of population (%),4801,543,0.702,0.109,0.002,0.026,0,0.134,0.026,Medium metro,
11/09/2022,01/01/2020,11/05/2022,IL,St. Clair County,2,17,163,17163,Distribution of all-cause deaths (%),7711,792,0.702,0.281,,0.006,,0.008,0.002,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,St. Clair County,2,17,163,17163,Distribution of COVID-19 deaths (%),7711,792,0.712,0.26,,,,0.016,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,St. Clair County,2,17,163,17163,Distribution of population (%),7711,792,0.609,0.304,0.002,0.015,0.001,0.045,0.025,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IL,Saline County,6,17,165,17165,Distribution of all-cause deaths (%),984,104,0.97,0.024,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Saline County,6,17,165,17165,Distribution of COVID-19 deaths (%),984,104,0.971,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Saline County,6,17,165,17165,Distribution of population (%),984,104,0.914,0.037,0.005,0.006,0.001,0.018,0.019,Noncore,
11/09/2022,01/01/2020,11/05/2022,IL,Sangamon County,4,17,167,17167,Distribution of all-cause deaths (%),8264,776,0.901,0.084,,0.005,,0.006,0.003,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Sangamon County,4,17,167,17167,Distribution of COVID-19 deaths (%),8264,776,0.898,0.08,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Sangamon County,4,17,167,17167,Distribution of population (%),8264,776,0.795,0.131,0.002,0.022,0,0.025,0.025,Small metro,
11/09/2022,01/01/2020,11/05/2022,IL,Stephenson County,5,17,177,17177,Distribution of all-cause deaths (%),1761,213,0.914,0.07,,,,0.01,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Stephenson County,5,17,177,17177,Distribution of COVID-19 deaths (%),1761,213,0.873,0.085,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Stephenson County,5,17,177,17177,Distribution of population (%),1761,213,0.812,0.101,0.002,0.007,0,0.045,0.032,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IL,Tazewell County,3,17,179,17179,Distribution of all-cause deaths (%),3161,224,0.981,0.012,,0.003,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Tazewell County,3,17,179,17179,Distribution of COVID-19 deaths (%),3161,224,0.969,,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Tazewell County,3,17,179,17179,Distribution of population (%),3161,224,0.935,0.013,0.002,0.009,0,0.026,0.014,Medium metro,
11/09/2022,01/01/2020,11/05/2022,IL,Vermilion County,4,17,183,17183,Distribution of all-cause deaths (%),2580,227,0.886,0.096,,,,0.011,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Vermilion County,4,17,183,17183,Distribution of COVID-19 deaths (%),2580,227,0.855,0.141,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Vermilion County,4,17,183,17183,Distribution of population (%),2580,227,0.777,0.136,0.002,0.009,0,0.054,0.023,Small metro,
11/09/2022,01/01/2020,11/05/2022,IL,Whiteside County,5,17,195,17195,Distribution of all-cause deaths (%),2040,271,0.931,0.015,,,,0.05,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Whiteside County,5,17,195,17195,Distribution of COVID-19 deaths (%),2040,271,0.886,,,,,0.096,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Whiteside County,5,17,195,17195,Distribution of population (%),2040,271,0.838,0.015,0.002,0.005,0,0.126,0.013,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IL,Will County,2,17,197,17197,Distribution of all-cause deaths (%),14374,1396,0.798,0.111,,0.019,,0.067,0.003,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Will County,2,17,197,17197,Distribution of COVID-19 deaths (%),14374,1396,0.716,0.133,,0.019,,0.128,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Will County,2,17,197,17197,Distribution of population (%),14374,1396,0.618,0.119,0.001,0.061,0,0.185,0.016,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IL,Williamson County,4,17,199,17199,Distribution of all-cause deaths (%),2765,357,0.967,0.025,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Williamson County,4,17,199,17199,Distribution of COVID-19 deaths (%),2765,357,0.952,0.042,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Williamson County,4,17,199,17199,Distribution of population (%),2765,357,0.89,0.046,0.003,0.013,0,0.029,0.018,Small metro,
11/09/2022,01/01/2020,11/05/2022,IL,Winnebago County,3,17,201,17201,Distribution of all-cause deaths (%),10757,1086,0.824,0.112,,0.009,,0.045,0.009,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Winnebago County,3,17,201,17201,Distribution of COVID-19 deaths (%),10757,1086,0.771,0.12,,0.013,,0.087,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IL,Winnebago County,3,17,201,17201,Distribution of population (%),10757,1086,0.669,0.137,0.002,0.027,0,0.138,0.026,Medium metro,
11/09/2022,01/01/2020,11/05/2022,IN,Allen County,3,18,3,18003,Distribution of all-cause deaths (%),15247,2028,0.863,0.093,0.001,0.014,,0.026,0.002,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Allen County,3,18,3,18003,Distribution of COVID-19 deaths (%),15247,2028,0.862,0.075,,0.017,,0.044,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Allen County,3,18,3,18003,Distribution of population (%),15247,2028,0.725,0.115,0.003,0.048,0,0.079,0.03,Medium metro,
11/09/2022,01/01/2020,11/05/2022,IN,Bartholomew County,4,18,5,18005,Distribution of all-cause deaths (%),2825,333,0.958,0.022,,0.005,,0.012,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Bartholomew County,4,18,5,18005,Distribution of COVID-19 deaths (%),2825,333,0.964,,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Bartholomew County,4,18,5,18005,Distribution of population (%),2825,333,0.799,0.022,0.002,0.083,0.001,0.078,0.015,Small metro,
11/09/2022,01/01/2020,11/05/2022,IN,Boone County,2,18,11,18011,Distribution of all-cause deaths (%),1541,191,0.966,0.016,,0.008,,0.007,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Boone County,2,18,11,18011,Distribution of COVID-19 deaths (%),1541,191,0.948,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Boone County,2,18,11,18011,Distribution of population (%),1541,191,0.891,0.022,0.002,0.035,0,0.034,0.016,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IN,Cass County,5,18,17,18017,Distribution of all-cause deaths (%),1029,116,0.952,,,,,0.034,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Cass County,5,18,17,18017,Distribution of COVID-19 deaths (%),1029,116,0.983,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Cass County,5,18,17,18017,Distribution of population (%),1029,116,0.781,0.019,0.003,0.019,0,0.167,0.011,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IN,Clark County,2,18,19,18019,Distribution of all-cause deaths (%),3358,338,0.916,0.071,,,,0.008,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Clark County,2,18,19,18019,Distribution of COVID-19 deaths (%),3358,338,0.879,0.098,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Clark County,2,18,19,18019,Distribution of population (%),3358,338,0.821,0.081,0.002,0.011,0.001,0.058,0.026,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IN,Daviess County,5,18,27,18027,Distribution of all-cause deaths (%),903,102,0.986,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Daviess County,5,18,27,18027,Distribution of COVID-19 deaths (%),903,102,0.99,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Daviess County,5,18,27,18027,Distribution of population (%),903,102,0.908,0.021,0.002,0.004,0,0.055,0.01,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,IN,Dearborn County,2,18,29,18029,Distribution of all-cause deaths (%),1306,157,0.988,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Dearborn County,2,18,29,18029,Distribution of COVID-19 deaths (%),1306,157,0.987,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Dearborn County,2,18,29,18029,Distribution of population (%),1306,157,0.96,0.007,0.002,0.005,0.001,0.014,0.012,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,IN,Decatur County,5,18,31,18031,Distribution of all-cause deaths (%),848,108,0.991,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Decatur County,5,18,31,18031,Distribution of COVID-19 deaths (%),848,108,1,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,IN,Decatur County,5,18,31,18031,Distribution of population (%),848,108,0.948,0.006,0.002,0.013,0,0.021,0.01,Micropolitan,
